seed,alpha,rango,barrio,valor
619,0.1,0.20202020202020204,3,0.16221289855745002
619,0.1,0.21212121212121213,0,0.14065426371983092
619,0.1,0.21212121212121213,1,0.13881666239788104
619,0.1,0.21212121212121213,2,0.1473348273188282
619,0.1,0.21212121212121213,3,0.17545115595994676
619,0.1,0.22222222222222224,0,0.14940966097384045
619,0.1,0.22222222222222224,1,0.13040515815102238
619,0.1,0.22222222222222224,2,0.14816298163578545
619,0.1,0.22222222222222224,3,0.16851027351932957
619,0.1,0.23232323232323235,0,0.14794610924571816
619,0.1,0.23232323232323235,1,0.13138181860655962
619,0.1,0.23232323232323235,2,0.14106950747071845
619,0.1,0.23232323232323235,3,0.16218842125610222
619,0.1,0.24242424242424243,0,0.14500492754972627
619,0.1,0.24242424242424243,1,0.1329462040096523
619,0.1,0.24242424242424243,2,0.1431478447461383
619,0.1,0.24242424242424243,3,0.17276075202273788
619,0.1,0.25252525252525254,0,0.1490122391074018
619,0.1,0.25252525252525254,1,0.13244189851171373
619,0.1,0.25252525252525254,2,0.1472929083901915
619,0.1,0.25252525252525254,3,0.16962413235131613
619,0.1,0.26262626262626265,0,0.14267719791820999
619,0.1,0.26262626262626265,1,0.13326619747298762
619,0.1,0.26262626262626265,2,0.13522270809828663
619,0.1,0.26262626262626265,3,0.15884156126393356
619,0.1,0.27272727272727276,0,0.13843959249720883
619,0.1,0.27272727272727276,1,0.134053628639349
619,0.1,0.27272727272727276,2,0.14470463416781865
619,0.1,0.27272727272727276,3,0.1729104520730813
619,0.1,0.2828282828282829,0,0.14964476997489884
619,0.1,0.2828282828282829,1,0.12399004260844149
619,0.1,0.2828282828282829,2,0.1459545411488241
619,0.1,0.2828282828282829,3,0.1733489974042648
619,0.1,0.29292929292929293,0,0.1442483693160883
619,0.1,0.29292929292929293,1,0.1254677256024932
619,0.1,0.29292929292929293,2,0.135861834886434
619,0.1,0.29292929292929293,3,0.17222502605320122
619,0.1,0.30303030303030304,0,0.140443723687516
619,0.1,0.30303030303030304,1,0.13724862934756854
619,0.1,0.30303030303030304,2,0.1389193957981807
619,0.1,0.30303030303030304,3,0.17368658968169126
619,0.1,0.31313131313131315,0,0.14018656425339904
619,0.1,0.31313131313131315,1,0.12899883066296258
619,0.1,0.31313131313131315,2,0.13758681026621167
619,0.1,0.31313131313131315,3,0.16650791108165253
619,0.1,0.32323232323232326,0,0.142182472802463
619,0.1,0.32323232323232326,1,0.12199562343408688
619,0.1,0.32323232323232326,2,0.14122747862122154
619,0.1,0.32323232323232326,3,0.16766369567243422
619,0.1,0.33333333333333337,0,0.13419257242614147
619,0.1,0.33333333333333337,1,0.12945580074446372
619,0.1,0.33333333333333337,2,0.14383502749681365
619,0.1,0.33333333333333337,3,0.17134364774238708
619,0.1,0.3434343434343435,0,0.1407285517798469
619,0.1,0.3434343434343435,1,0.12896675014351522
619,0.1,0.3434343434343435,2,0.14498604118953917
619,0.1,0.3434343434343435,3,0.1667501037256809
619,0.1,0.3535353535353536,0,0.14765713850805096
619,0.1,0.3535353535353536,1,0.12484635535671385
