seed,alpha,rango,barrio,valor
422,0.1,0.30303030303030304,1,0.34337015199894183
422,0.1,0.30303030303030304,2,0.345780928807508
422,0.1,0.30303030303030304,3,0.33673658787345984
422,0.1,0.31313131313131315,0,0.3606851840354457
422,0.1,0.31313131313131315,1,0.37086976380292236
422,0.1,0.31313131313131315,2,0.3604278264966796
422,0.1,0.31313131313131315,3,0.34219557871154827
422,0.1,0.32323232323232326,0,0.3520511307583718
422,0.1,0.32323232323232326,1,0.36271801571021633
422,0.1,0.32323232323232326,2,0.33552009879062705
422,0.1,0.32323232323232326,3,0.34320227902249045
422,0.1,0.33333333333333337,0,0.3701307735659156
422,0.1,0.33333333333333337,1,0.3485870120660981
422,0.1,0.33333333333333337,2,0.3534370658157542
422,0.1,0.33333333333333337,3,0.3559971238658468
422,0.1,0.3434343434343435,0,0.35070925855174107
422,0.1,0.3434343434343435,1,0.3677094083170622
422,0.1,0.3434343434343435,2,0.33817989024200146
422,0.1,0.3434343434343435,3,0.33309232665734156
422,0.1,0.3535353535353536,0,0.3696192491453685
422,0.1,0.3535353535353536,1,0.37312472168931854
422,0.1,0.3535353535353536,2,0.34156680889228985
422,0.1,0.3535353535353536,3,0.34646537638504493
422,0.1,0.36363636363636365,0,0.3587487669102447
422,0.1,0.36363636363636365,1,0.3754890906500419
422,0.1,0.36363636363636365,2,0.3503074626909306
422,0.1,0.36363636363636365,3,0.3277463395173559
422,0.1,0.37373737373737376,0,0.3492712359761472
422,0.1,0.37373737373737376,1,0.34963030427720554
422,0.1,0.37373737373737376,2,0.3263173707861615
422,0.1,0.37373737373737376,3,0.32442638541977287
422,0.1,0.38383838383838387,0,0.3671811920255952
422,0.1,0.38383838383838387,1,0.3580189343610434
422,0.1,0.38383838383838387,2,0.3272994255339776
422,0.1,0.38383838383838387,3,0.33747458104115635
422,0.1,0.393939393939394,0,0.3653351661094244
422,0.1,0.393939393939394,1,0.3732583407871193
422,0.1,0.393939393939394,2,0.3421214204148779
422,0.1,0.393939393939394,3,0.34893855779092586
422,0.1,0.4040404040404041,0,0.3585200032755771
422,0.1,0.4040404040404041,1,0.3805451681166325
422,0.1,0.4040404040404041,2,0.3419891965307058
422,0.1,0.4040404040404041,3,0.33542619143511265
422,0.1,0.4141414141414142,0,0.3609454971262367
422,0.1,0.4141414141414142,1,0.35600109041653805
422,0.1,0.4141414141414142,2,0.3592780664952384
422,0.1,0.4141414141414142,3,0.3398641826400459
422,0.1,0.42424242424242425,0,0.338337575262873
422,0.1,0.42424242424242425,1,0.3645536258475184
422,0.1,0.42424242424242425,2,0.3342858972346263
422,0.1,0.42424242424242425,3,0.3418868693948045
422,0.1,0.43434343434343436,0,0.3583075944001608
422,0.1,0.43434343434343436,1,0.36414936493551986
422,0.1,0.43434343434343436,2,0.3611191898316186
422,0.1,0.43434343434343436,3,0.35110626156339597
422,0.1,0.4444444444444445,0,0.352631764530037
422,0.1,0.4444444444444445,1,0.3697996587190633
422,0.1,0.4444444444444445,2,0.32679293127541076
422,0.1,0.4444444444444445,3,0.33585945996824274
422,0.1,0.4545454545454546,0,0.34782662349180216
422,0.1,0.4545454545454546,1,0.3635627059580335
422,0.1,0.4545454545454546,2,0.34911947573136004
422,0.1,0.4545454545454546,3,0.31311546568669146
422,0.1,0.4646464646464647,0,0.3531171148690657
422,0.1,0.4646464646464647,1,0.35900398789062793
